"id","content","category"
"1.txt","'Emniyet Müdürü'nü hemen görevden 	alın'
MHP Grup Başkanvekili Oktay Vural, Diyarbakır Emniyet Müdürü Recep Güven'in hemen görevden alınması gerektiğini iddia etti.
 TBMM'de basın toplantısı düzenleyen Vural, Genel Kurul'da yarın, Irak'ın 
  kuzeyine sınırötesi operasyon yapma konusunda hükümete yetki veren Başbakanlık 
  Tezkeresi'nin görüşüleceğini hatırlattı.
          MHP olarak tezkereye bir daha olumlu oy vereceklerini dile getiren Vural, 
  7. kez getirilen tezkereye rağmen Türkiye'nin, PKK'nın güvenli bölgelerini 
  bertaraf edemediğini söyledi.
          Vural, ''Tezkerenin, PKK terör örgütünün faaliyetlerine son vermek 
  amacıyla mı TBMM'ye getirildiğini yoksa milletin gazını almak, terörle mücadele 
  ediyor gözükmek için mi getirildiğini milletimizin takdirine bırakıyorum. 
  Kullanmıyorsun. Bunları yazıyoruz. Gün gelecek devran dönecek, bu yetkileri 
  kullanmayanlar, kullanmakta gaflet gösterenler, hukuk önünde hesap verecek. Bu 
  milletsize bir yetki vermişse, o yetkiyi kullanacaksın'' diye konuştu.
          Diyarbakır Emniyet Müdürü Recep Güven'in sözlerini eleştiren Vural, ''Bu 
  konu hafife alınacak bir konu değildir'' dedi.
          Bugün rehabilitasyon ve bakım merkezini ziyaret ettiğini, orada elleri ve 
  kolları olmayan Mehmetçiklerin bulunduğuna dikkati çeken Vural, şöyle devam 
  etti:
          ''Bunlar kimin için ayaklarını, kollarını verdi? Bebelere kurşun 
  sıkanlara, arkadan vuranlar için ağlayana söylüyorum; ağlamayanlar insan değilmiş 
  değil mi? Gazetelerde bir takım köşe yazarları, manşetler atılıyor. Utanmalısınız 
  be. İnsanlığı öldürenler için ağlıyorsun. Önce o ölen insanlar için ağlamayı 
  bileceksin. Bu ne hadsizliktir. 'Empati yapalım.' Şu zihniyete bakın. Sen kim 
  oluyorsun? Benim insanlığımı sen sorgulayamazsın, dil uzatamazsın. Bu yurdun 
  ekmeğini yiyorsanız, suyunu içiyorsanız, havasını kokluyorsanız, köşenizi 
  yazıyorsanız, program yapıyorsanız bilin ki o şehitlerin sayesindedir. Terör 
  örgütünü makul, empati kurulması gereken insanlar olarak göstererek, terörle 
  mücadeleyi dışlayan anlayışı kabul edemeyiz. Kan akıyor kan. Gazeteci Ahmet Taner 
  Kışlalı'yı öldürenlere de mi empati yapılacak? 'Teröristle empati yapacakmışız.' 
  Yok öyle bir şey. Türkiye hukuk devleti ise cezası bellidir.''
          
          -''Şahin görünümlü güvercin...''-
          
          Vural, Başbakan Recep Tayyip Erdoğan'ın grup toplantısında, Başbakan 
  Yardımcısı Bülent Arınç'ın Bakanlar Kurulu toplantısı sonrasında, AK Parti Grup 
  Başkanvekili Ahmet Aydın'ın da yaptığı açıklamaları gazetecilere dinleterek, 
  ''Başbakan Yardımcısı 'takdirle karşılıyorum' diyor, Grup bAşkanvekili 'insani ve 
  vicdani' diyor, Başbakan 'ağlamayız' diyor. Hangisine inanacaksınız'' diye 
  konuştu.
          Erdoğan'ın Cumhurbaşkanı olmak istediğini ileri süren Vural, ''Başbakan 
  AKP'nin yapacaklarını demeyecek, Başbakan'ın diyemediklerini AKP yapacak. Bu 
  ikircikli yaklaşım iliklerine kadar AKP'ye yapışmıştır'' dedi.
          Vural, AK Parti'nin terörle mücadele politikasını eleştirerek, ''Şahin 
  görünümlü güvercin politikası uyguluyorlar'' ifadesini kullandı.
          MHP'li Vural, ''Başbakan, çok kritik bir yerde görev verilen bir 
  kimsenin, terör örgütüne empati beslenmesini gerektiğini söyleyen zihniyet 
  karşısında siyasal duruşunuz varsa, bu siyasal duruşunuza samimiyetle inanmamızı 
  da arzu ediyorsanız, Diyarbakır Emniyet Müdürü'nü hemen görevden alın. O zaman 
  grup başkanvekiline ve Başbakan Yardımcına da bu konuda ne yapılması gerekiyorsa 
  yap da inanalım. Yoksa laftan başka bir anlam taşımıyor'' dedi.
          Oslo'daki görüşmelerde terör örgütü temsilcilerinden Adem Uzun adında 
  birinin bulunduğunu, bu kişinin daha sonra tank savar pazarlığı yaparken 
  yakalandığını ileri süren Vural, ''Bir elleri silahta, bir elleri masada. PKK'ya 
  tanksavar almak isteyen insanlarla masa kurmuşlar, pazarlık ediyorlar. Belki de 
  yeni Oslo'larla, tanksavar ve uçaksavar almak için de bir görüşme 
  planlayabilirler'' diye konuştu.
          
          -''Tasarının amacı siyasi''-
          
          Vural, gazetecilerin sorularını da cevaplandırdı. Büyükşehir Belediyesi 
  Kanunu Tasarısı'na ilişkin soru üzerine Vural, bu konuda grubu acil toplantıya 
  çağırdıklarını söyledi.
          Bir oldu bitti ve dayatmayla karşı karşıya olduklarını ifade eden Vural, 
  AK Parti'nin demokrasinin köklerini kurutmak istediğini öne sürdü. Vural, 
  ''Köyleri, belde belediyeleri kaldırıyorlar. Bunun amacı siyasidir. Açık ve net. 
  Bunlar insanların seçme hakkına saygı göstermiyorlar'' diye konuştu. Vural, 
  tasarıya göre MHP'li 231 belediyenin kapatılacağını vurguladı.
          Vural, seçilme yaşının 18'e düşürülmesine ilişkin önerinin de 
  düşünülmeden ulu orta yapıldığını iddia ederek, ''18 yaşın seçme hakkı 
  veriyorsun, askerlik hizmetini yapma mecburiyeti var. Erlere seçme hakkı 
  veriyorsun. Nasıl propaganda yapacaklar? Bize somut olarak gelmiş bir teklif 
  yok'' dedi.
 AA","siyaset"
"10.txt","Esad'a da Obama'ya da derim'
CHP Grup Başkanvekili Muharrem İnce, Türkiye'nin çıkarlarına zarar veren herkese ''Canın cehenneme'' diyebileceğini belirterek, ''Esad'a da Obama'ya da 'Canın cehenneme' derim'' dedi.
 İnce, Meclis'te düzenlediği basın toplantısında, Başbakan Recep Tayyip 
  Erdoğan'ın, kendisini hedef alarak, ''Esad'a canın cehenneme' diyorsun, ABD'ye de 
  diyebilir misin?'' dediğini söyledi.
          Erdoğan'a seslenen İnce, ''Ben derim de sen diyebilir misin? Askerlerin 
  başına çuval geçirildiğinde, 'Nota verecek misiniz?' diye sorulduğunda, 'Ne 
  notası, müzik notası mı?' diyen Başbakan, sen diyebilir misin? Meclis'in verdiği 
  Kuzey Irak Tezkeresi'ni kullanmak için 'ABD'yi ikna etmek gerekir' diyen 
  Başbakan, sen diyebilir misin? Beyzbol sopası ile hizaya geçirilen Başbakan, sen 
  diyebilir misin? Türkiye'nin çıkarlarına zarar veren herkese canın cehenneme 
  diyebilirim ben. Esad'a da Obama'ya da 'canın cehenneme' derim ben. Türkiye'nin 
  çıkarlarını zora sokan, zarar veren herkese 'canın cehenneme' derim'' diye 
  konuştu.
          Başbakan Erdoğan'ın, kapalı oturum tutanakları ile ilgili, ''Zamanı 
  geldiğinde, açıklandığında, Anamuhalefet partisi ne kadar maharetliymiş bunu 
  göreceksiniz'' dediğini belirten İnce, ''Gel beklemeyelim zamanının gelmesini. 
  Bunu dört grup kabul ederse açıklanabilir. Olmazsa grup önerisi olarak 
  getireceğim. Gelin bu tutanakları açıklayalım. Biraz yüreğin varsa, kuş yüreği 
  kadar yüreğin varsa gel tutanakları açıklayalım'' dedi.
          Başbakan Yardımcısı Bekir Bozdağ'ın TSK İç Hizmet Kanunu'nun 35. 
  maddesini kaldıracaklarını söylediğini ifade eden İnce, 2010 yılında bu konuda 
  kendilerinin kanun teklifi verdiğini, daha sonra kendi imzasıyla ikinci bir 
  teklif daha sunduğunu, bunların gündeme alınabileceğini söyledi.
          TÜBİTAK'ta kadrolaşma olduğunu savunan İnce, ''Biz bunun sıradan bir 
  kadrolaşma olduğunu düşündük. Meğer, Balyoz'un altyapısı hazırlanıyormuş. Sahte, 
  dijital veriler nasıl hazırlanacak? Meğer bunların hazırlıklarıymış' dedi.
          ''Suriye sınırındaki mayınlı arazilerin İsraillilere verilmesini'' de 
  önce bir rant olaylı olayı olarak değerlendiklerini belirten İnce, ''Meğer bunun 
  arkasında da bugünkü Suriye politikası varmış. Düşünsenize böyle bir ortamda o 
  arazinin İsraillilerin elinde olduğunu. AKP egemen güçlerin dizayn etiği bir 
  büyük projedir'' iddiasında bulundu.
          
          -''Hangi holdingin patronunun torununa söz verdin?''-
          
          Gazetecilerin sorularını yanıtlayan İnce, seçilme yaşının 18'e 
  düşürülmesi önerisine ilişkin, şunları söyledi:
          ''Bu bir popülizmdir. Başbakan'a şunu söyleyeyim: Sen hangi holdingin 
  patronunun torununa söz verdin? Doğum günü hediyesi mi vereceksin? Hangi fakir 
  fukara çocuğu 18 yaşında milletvekili olabilir? 18 yaşında çocuk lisede fiilen 
  öğrencidir. Oy gelsin de nereden gelirsen gelsin politikası.
          Gençler önce, 'parasız eğitim istiyorum' diye pankart açma hakkını 
  istiyor. Sen daha bunu vermemişsin. Sen onların KPSS sorularını çaldırma önce. 
  Adam gibi üniversite yap. Onlara yurt yap. Onlara burs ver. Onları iyi eğit, 
  zamanı geldiğinde milletvekili olurlar.''
          Muharrem İnce, büyükşehir sayısının artırılmasına ilişkin soru üzerine, 
  bunun bir dizayn olduğunu savunarak, kapatılacak 559 belediyenin 194'ünün CHP'li 
  belediye olduğunu söyledi. İnce, ''Sandıkta alamamışlar buraları şimdi kanunla 
  alma yoluna gidiyorlar. Eğer demokrasiye inanıyorsak buralarda referandum 
  yapılmalıdır'' dedi.
          
          -''Emir komuta ile oy verilebilir''-
          
          İnce, er ve erbaşların da oy kullanmasına imkan tanınması ile ilgili 
  soruya da şu yanıtı verdi:
          ''Neden olmasın. Partili Cumhurbaşkanı oluyorsa, partili Genelkurmay 
  Başkanı da olmalıdır. Hatta hangi bölükten AKP'ye çok oy çıktıysa o bölüğün 
  flamasına ampul de eklenmelidir. Mümkünse birinci çıkan bölüklere gece nöbeti, 
  bulaşık yıkama gibi görevler verilmemelidir. Emir komuta ile oy verilebilir. 
  'Benim Genelkurmay Başkanım' dediği Genelkurmay Başkanı'na bir talimat verir...
          Oy verme işlemi bir günde tamamlanıyor. O zaman o gün bütün kışlalar 
  tatil mi olacak? Bunlar ince düşünüldü mü? Başbakan fantezi yapıyor. Canı 
  sıkılmış, Türkiye'de bütün kurumları fethetmiş, tek adamlığa, diktatörlüğe 
  oynuyor. Canı sıkılmış artık.''
          Diyarbakır Emniyet Müdürü Recep Güven'in açıklamasına ilişkin Başbakan 
  Erdoğan'ın konuşmasını değerlendiren İnce, ''Başbakan 'Benim Genelkurmay 
  Başkanım, benim Bakanım, valim, müsteşarım' diyor. O zaman bu Emniyet Müdürü de 
  Başbakan'ın Emniyet Müdürüdür. Dolayısıyla bunu Başbakan söylemiş oldu. Başbakan 
  başka, yardımcısı başka, Emniyet Müdürü başka bir şey diyor. Allah kimseyi Bülent 
  Arınç'ın durumuna düşürmesin''diye konuştu.
 AA","siyaset"
"11.txt","Eker için gensoru
CHP, Gıda Tarım ve Hayvancılık Bakanı Mehdi Eker hakkında, 'yanlış uygulanan politikalar nedeniyle çiftçi ve üreticileri sıkıntıya sokarak görevinin gereklerini yerine getirmediği'' iddiasıyla gensoru önergesi verdi.
 TBMM Başkanlığı'na sunulan önergeye ilişkin Meclis'te basın toplantısı düzenleyen CHP Milletvekili Ensar Öğüt, uygulanan gıda, tarım ve hayvancılık politikalarını eleştirdi. Gemilerle Tekirdağ'a gelen hayvanların şehre korkunç bir koku yaydığını ifade eden Öğüt, ''Korkunç kokan bu hayvanların eti de yenmez, sütü de içilmez. Doğru dürüst bir bakan gelsin, insanlar et yesin, süt içsin'' dedi.10 yıllık AK Parti Hükümeti tarafından izlenen politikalar sonucunda hayvancılık sektörünün bitme aşamasına geldiği öne sürülen gerekçede, ithal hayvan ve et miktarları ile 10 yılda mazot ve saman fiyatlarındaki artışa ilişkin rakamlara yer verildi.","siyaset"
"12.txt","'3 Kasım' ihtimali
AK Parti, eğer Köşk'ün kararı 'iade' yönünde olursa yerel seçimler için üç ihtimalden birini tercih edecek. İhtimallerden biri CHP'nin önerdiği 3 Kasım 201... Bu tarih AK Parti'nin iktidara geldiği 3 Kasım seçimlerinin 11. yıl dönümüne denk geliyor
 Hakkı KURBAN / ANKARA
 AK Parti MYK, referandum ve Suriye krizlerinin gölgesinde toplandı. Başbakan Erdoğan'ın Azerbaycan gezisi öncesinde yapılan toplantıda, Anayasa değişikliği oylamasında yaşanan fire sıkıntısı değerlendirilirken, AK Partili grup yöneticileri neden 367 rakamına ulaşılamadığı yönündeki tespitlerini aktardı. Köşk'ten gelen 'veto' sinyalleri çerçevesinde üç ihtimal göz önüne alınırken,  CHP'nin de sıcak baktığı 3 Kasım tarihi de değerlendirmeye alındı. Gül'ün iadesine göre muhalefetle görüşülecek.
 ÜÇ İHTİMAL DE KONUŞULDU
 Yaklaşık 3.5 saat süren toplantıda, 'referandum'un, zamanı ve getireceği külfet de göz önüne alınarak son ihtimal olarak değerlendirildiği kaydedildi. Gül'ün iadesi halinde ise üç seçenekten biri, muhalefetin de tavrına göre tercih edilecek:
 - MHP ile birlikte 27 Ekim 2013 tarihinde ısrar etmek, 
 - CHP'nin de sıcak baktığı 3 Kasım 2013 veya bir başka tarihi belirlemek 
 - Seçimlerin yine kanuni zamanlaması olan Mart 2014'te yapılmasını sağlamak
 Eğer 3 Kasım tarihinde karar kılınırsa, Türkiye AK Parti'nin tek başına iktidara geldiği 3 Kasım 2002'nin 11 yıl sonrasında bu kez 3 Kasım 2013'te yerel seçimlere gidecek. Ancak bu ihtimal, yapılacak değerlendirmelere göre netleşecek. 
 Toplantıda BDP kongresindeki tablo da değerlendirildi. BDP'nin terör örgütüyle arasındaki irtibatın kongrede bir kez daha görüldüğü vurgusu yapıldı.
 Bu bir yol kazasıdır
 Grup Başkanvekili Nurettin Canikli: Mecliste oylama gizli yapıldı. Orada kimin, ne oy kullandığını tespit etmek imkansız. İki partide toplam 8 fire var. Bu kadar çok kalabalıkta olabilir. Bir zafiyet olarak görmemek, düşünmemek lazım... 
 Grup Başkanvekili Mustafa Elitaş: Oylama gizli yapıldı. O arkadaşlarımızın kim olduğunu bilmek mümkün değil. Arkadaşlar o şekilde takdir etmişler... Hakan Bey'in (Şükür) mazeret dilekçesi de bizde mevcut. 
 Genel Başkan Yardımcısı Ömer Çelik: AK Parti içerisinde bu tip durumlarda kasti davranan kimse olmaz kanaatimce. Bu bir yol kazasıdır. Zaman zaman bu kazalar oluyor. Bu eksiklikler usulünce giderilir.
 Retçiler siyasete veda edebilir
 ANKARA, yerel seçimlerin erkene alınmasına ilişkin anayasa değişikliğinin referandum eşiğine takılmasının şokunu yaşarken oylamada eksik çıkan 7 oyun peşine düşen AK Parti'de retçi vekillere yönelik tepkiler sürüyor. 
 Başbakan Yardımcısı Bülent Arınç, oylamada verilen firelerle ilgili değerlendirmesinde; bir parti genel başkanının sözünün çiğnenemeyeceğini belirtti. Arınç, milletvekillerini 'Bir partinin prestiji var. MHP'de olsa AK Parti'de olsa gücü var. Bir genel başkan 'Bu teklif benimdir' dedikten sonra milletvekili başka düşünce sergilemez. Gösterirse yanlış olur. O kadar büyük bir yanlış olur ki, sonunda siyasi hayata veda etmek zorunda bile kalabilir' diye uyardı.
 İLK KAREDE GÜLEN GÖZLER!
 AK Parti'nin yeni MYK'sından ilk fotoğraf kareleri de çıktı. Karelere, Başbakan Erdoğan ve kurmaylarının 'gülen yüzler'i damga vurdu. Erdoğan'ın sağ tarafında, partinin yeni 2 numarası Mehmet Ali Şahin otururken, solunda da Genel Sekreter Haluk İpek yer aldı. Partinin yeni isimlerinden Numan Kurtulmuş, Yerel Yönetimlerden Sorumlu yeni Genel Başkan Yardımcısı Menderes Türel'in yanındaki koltuğa oturdu. Karşısında da bir başka çiçeği burnunda AK Partili Genel Başkan Yardımcısı Süleyman Soylu'nun bulunması dikkat çekti.","siyaset"
"13.txt","'Tasarı, bize rağmen yasalaşırsa Anayasa Mahkemesi'ne başvuracağız'
TBMM İçişleri Komisyonu'nda, Büyükşehir Belediyesi Kanunu ile Bazı Kanun ve KHK'lerde değişiklik yapan kanun tasarısının 1. maddesi üzerinde görüşmeler sürüyor.
 MHP Yozgat Milletvekili Sadir Durmaz, tasarının, dönüşü olmayan, sıkıntıya yol açacak, anayasaya aykırılıklar içeren bir düzenleme olduğunu savundu.
 ''Belediyeleri kapatarak, demokratik katılımı, ileri demokrasiyi nasıl kuracaksınız?'' sorusunu yönelten Durmaz, tasarıyla ülkenin geleceğinin karartıldığını ileri sürdü.
 Durmaz, ''Yanlış hesap Bağdat'tan değil, alt komisyondan döndü. Tasarı, şehitlerimizin ruhunu incitmektedir, şehit ve gazilerimize hürmetsizliktir, PKK'nın zaferinin ilanı, milletimizin, aslanın kediye boğdurulması misali diz çöktürülmesidir'' dedi.
 CHP İstanbul Milletvekili Celal Dinçer, AK Parti'nin, tasarıyla, anayasa suçu işlediğini ileri sürdü. Beldelerin kapatılmasıyla, yerel demokrasinin zaafa uğratılacağını belirten Dinçer, tasarının mevcut haliyle çıkması durumunda, ileride felaket getirebileceğini ifade etti.
 CHP İzmir Milletvekili Birgün Ayman Güler, tasarının anayasaya aykırı olduğunu savunarak, ''Bize rağmen yasalaşırsa Anayasa Mahkemesi'ne başvuracağız. Yerel yönetim terminatörüsünüz'' dedi.
 Her tüzel kişilik için kararın ayrı ayrı verilmesi gerektiğini vurgulayan Güler, ''toptancı'' bir şekilde, tek tek varlık hakkı kazanan yerel yönetimlerin ortadan kaldırılamayacağını belirtti.
 Tasarının görüşmeleri, verilen aranın ardından 1. madde üzerinde devam edecek. AA","siyaset"
"14.txt","Gensoru gündeme alınmadı
TBMM Genel Kurulu'nda, CHP'nin, Gıda Tarım ve Hayvancılık Bakanı Mehdi Eker hakkında verdiği gensoru önergesinin gündeme alınması kabul edilmedi.
 AK Parti Kars Milletvekili Yunus Kılıç, Gıda Tarım ve Hayvancılık Bakanı Mehdi Eker hakkında verilen gensoru önergesinin gündeme alınıp alınmayacağına ilişkin görüşmelerde, gensorularla Meclis'in tıkanmasına halkın destek vermediğini söyledi.
 MHP Grubu adına söz alan Hatay Milletvekili Adnan Şefik Çirkin, ''Türkiye'nin bir kaçak hayvan cenneti haline geldiğini'' savundu.
 CHP Ardahan Milletvekili Ensar Öğüt, dışarıdan saman ithal edileceğine üreticiye teşvik primi verilmesini istedi. Öğüt, ''Sayın Bakan 'ithalatı durdurduk' dediniz. Kimi kandırıyorsunuz? Çok ayıp. Bundan bir hafta önce Türkiye'ye 6 bine yakın Mersin limanından hayvan girdi. Gidip bunları tespit ettim. Firmaların ismini vermek istemiyorum. Bir aydır araştırma yapıyorum. Gensoru verdik ama gidip bunun araştırmasını da yaptık'' dedi.
 Daha sonra yapılan oylamada, CHP'nin, Gıda Tarım ve Hayvancılık Bakanı Mehdi Eker hakkında verdiği gensoru önergesinin gündeme alınması kabul edilmedi.
 Gensoru önergesinin reddedilmesinin ardından, TBMM Başkanvekili Güldal Mumcu, alının karar gereğince yarın saat 14.00'de toplanmak üzere birleşimi kapattı. AA","siyaset"
"15.txt","'Beklenen bir sonuç. Olması gereken bu'
Çalışma ve Sosyal Güvenlik Bakanı Faruk Çelik, Cumhurbaşkanı Abdullah Gül'ün, yerel seçimlerin 27 Ekim 2013'te yapılmasını içeren anayasa değişikliğini bir kez daha görüşülmek üzere Meclise iade etmesini, ''Beklenen bir sonuç. Olması gereken bu'' diye değerlendirdi.
 Çelik, TBMM'de gazetecilerin konuya ilişkin sorusunu yanıtladı. Çelik, Cumhurbaşkanı Gül'ün iadesine ilişkin, ''Beklenen bir sonuç. Olması gereken bu'' dedi.
 AK Parti Grup Başkanvekili Nurettin Canikli de iade edilen kanunun yeniden görüşebileceklerini ifade ederek, ''MHP ve CHP ile bu konuyu görüşürüz. CHP'den olumlu yanıt almasak bile MHP ile devam edebiliriz. Tarih konusunu yeniden değerlendirir, konuşuruz'' diye konuştu.
 Canikli, bu görüşmenin bayram öncesi olabileceğini bildirdi.
 Seçilme yaşının 18'e düşürülmesine ilişkin bir soru üzerine de Canikli, konuyu daha önce CHP ile görüştüklerini hatırlattı. ''Onlar 'seçim barajında düzenleme olursa destek veririz' dediler. Yani CHP ölçülü olarak reddetti'' diyen Canikli, ''Ama biz teklifimizi vereceğiz. Her alternatife açığız. Muhtemel riskler varsa onu da minimize edebiliriz'' ifadelerini kullandı.
  
 TBMM Anayasa Komisyonu Başkanı Burhan Kuzu da ''Kanun Meclis'e gelsin, bakarız'' dedi. Kuzu, normal şartlarda, herhangi bir değişiklik yapılmazsa kanunun komisyonda görüşülmeden TBMM Genel Kurulu'nda ele alınabileceğini savundu.
 Neticede bir tarih değişikliği yapıldığını ifade eden Kuzu, ''Gerekçeler ortada. Kış ayında seçim propagandaları zor oluyor. Mart'taki seçimler için Ocak'tan itibaren çalışmaya başlanıyor. CHP bunu algılamakta zorlanıyor. Hem karşı olmadıklarını söylüyorlar, hem bir tek oy bile vermiyorlar. İlaç desen yok. Nasıl olacak o zaman'' diye konuştu. AA","siyaset"
"16.txt","Oran'dan sert eleştiri
CHP Genel Başkan Yardımcısı Umut Oran, ''Bizler de buraya geldiğimiz zaman Türkiye'nin dört bir tarafından buraya gelen yardım konvoylarını gördük. Ama devlet ve devleti yöneten iktidar bu depremde iyi sınav vermedi'' dedi.
 Van depreminin yıldönümü dolayısıyla kente gelen CHP Genel Başkan 
  Yardımcısı Oran, il başkanlığında basın toplantısı düzenledi.
          Depremin üzerinden bir yıl geçmesine rağmen kentteki yaraların hala 
  sarılamadığını öne süren Oran, kentteki depremlerde çok sayıda ocağa ateş 
  düştüğünü ve bu ateşin sadece düştüğü yeri yaktığını belirtti.
          Oran, depremden sonra vatandaşların yaşadığı çadırlarda meydana gelen 
  yangınlarda 12 vatandaşın yaşamını yitirdiğini anımsatarak, depremin ardından 
  koordinasyon ve organizasyon bozuklukları yaşandığını, bunun da yardımların 
  zamanında depremzedelere ulaşmasını engellediğini savundu.
          Türkiye'nin, Van depreminde birlik, beraberlik ve dayanışma noktasında 
  önemli bir sınav verdiğini ve bu sınavı geçtiğini vurgulayan Oran, şöyle 
  konuştu:
          ''Bizler de buraya geldiğimiz zaman Türkiye'nin dört bir tarafından 
  buraya gelen yardım konvoylarını gördük. Ama devlet ve devleti yöneten iktidar bu 
  depremde iyi sınav vermedi. Bu acıların üzerinden 1 yıl geçti ama manzarada çok 
  fazla değişiklik yok. Bugün ilk defa Van'da bir hareketlilik görüyorum. Trafik 
  yoğun, insanlar hummalı bir çalışma içerisinde. Maalesef daha önce gördüğümde in 
  cin top oynuyordu. Muhtemelen, Sayın Başbakan yarın gelecek diye ciddi bir 
  makyajlama çalışması yapılıyor, ciddi bir göz boyama çalışması yapılıyor. 
  Başbakan sık sık gelsin, bu işler yapılsın, vatandaşa hizmet gitsin.''
          Oran, depremden sonra birçok vaatte bulunulduğunu fakat ortada bir icraat 
  göremediğini iddia ederek, gazetelerde ve ilanlarda Van'ın cennet gibi 
  gösterildiğini, fakat deprem ve depremden sonra yaşananların cennet olan Van'ı 
  cehenneme dönüştürdüğünü ileri sürdü.
          ''Bu bir yıl içinde Adalet ve Kalkınma Partisi Van'a adaletli de 
  davranmadı, burada kalkınmayı da sağlayamadı'' diyen Oran, Erciş ilçesinde 
  Atatürk İlköğretim Okulu'nun yerine yaptırılan okula, Başbakan Recep Tayyip 
  Erdoğan'ın annesisinin adının verilmesi eleştirdi.
          
          -TOKİ konutları-
          
          AFAD tarafından TOKİ'ye yaptırılan deprem konutlarının yüksek fiyata 
  depremzedelere verildiğini savunan Oran, şunları kaydetti:
          ''TOKİ, CHP tarafından, yüksek fiyata ev satması ve bundan rant elde 
  etmesi için değil, vatandaşların ucuz fiyata başını sokabileceği ev sahibi 
  olabilmesi için kuruldu. Hükümet Van'a 5 milyar lira bir kaynak aktarıldığını 
  söyledi. Ben geçen geldiğim zaman da sormuştum. 3,5 milyar lirasını harcamışsınız 
  güzel, 1,5 milyar lira da 15 bin konut için TOKİ'ye para verilmiş. Buradan 
  Başbakan'a soruyorum 3,5 milyar lira para harcandıysa bu iki milyar lirasını 
  nereye harcadınız. Başbakan'a soruyorum sen bu TOKİ konutlarını vatandaşa bedava 
  mı veriyorsun? Yoksa tefeci gibi bunun üzerine faiz koyup ve fiyatı da sürekli 
  olarak artırarak mı veriyorsun?''
          Umut Oran, basın toplantısının ardından Akköprü İlköğretim Okulu'nda 
  öğrencilere kırtasiye malzemesi dağıttı. Oran daha sonra merkeze bağlı Karpuzalan 
  köyünde meydana gelen çadır yangınında 3 çocuğunu kaybeden Şemsettin Tolukan'ı 
  evinde ziyaret ederek, başsağlığı diledi.
 AA","siyaset"
"17.txt","Kılıçdaroğlu birinci günü Silivri Cezaevi'nde
CHP Genel Başkanı Kemal Kılıçdaroğlu, Kurban Bayramı'nın birinci günü Silivri Cezaevi'nde, partisinin tutuklu milletvekilleriyle bayramlaşacak.
 CHP'den yapılan yazılı açıklamaya göre, Kılıçdaroğlu, bayramın ilk günü Silivri Cezaevi'ne giderek, partisinin tutuklu milletvekilleri Mehmet Haberal ve Mustafa Balbay'ı ziyaret edecek.
 Kılıçdaroğlu ile bazı parti yöneticileri ve milletvekilleri de Silivri'ye gidecek.
 AA","siyaset"
"18.txt","CHP'li Aygün'den Başbakan'a mektup
CHP Tunceli Milletvekili Hüseyin Aygün, Alevi yurttaşların, cemevlerinin ibadethane sayılması, zorunlu din derslerinin kaldırılması, Alevi mal varlıklarının iade edilmesi gibi taleplerinin yerine getirilmesi için Başbakan Recep Tayyip Erdoğan'a mektup yazdı.
 Aygün, mektubunda, Alevilerin, nüfusun yaklaşık yüzde 20 ile yüzde 25'ini 
  oluşturduğunu belirterek, Gayri Safi Milli Hasılaya en az yüzde 20 oranında katkı 
  sağlayıp, ibadet mekanı olan cemevleri için dahi yüzde 1 oranında pay 
  almamalarının, demokrasinin niteliği ve hukuk devleti olma ilkesi ile 
  bağdaşmadığını ifade etti. Aygün, şunları kaydetti:
          ''Türkiye'de din ve inanç temelinde Alevilere yönelik yapılan ayrımcılık, 
  yok sayılma ve asimilasyon politikalarının her yıl AB ilerleme raporlarında yer 
  alırken, Diyanet İşleri Başkanlığı 2009-2010 yılı faaliyet raporları ve 2012-2016 
  strateji raporunun tehditler bölümünde Aleviler için (İslami gelenek içinde yer 
  alan kimi görüş ve yorumların subjektif anlayışlar doğrultusunda açıklanmasına 
  yönelik çabalar) denilmektedir. Aleviler açık bir şekilde devletin varlığına 
  yönelik tehdit unsuru olarak görülmektedir.
          Son bir yıl içerisinde Türkiye'nin çeşitli illerinde Alevi yurttaşlarının 
  ev ve kapılarına işaretlemeler yapılmış, Cemevi ve okul duvarlarına tehdit içeren 
  ifadeler yazılmıştır. Bir eğlence aracı olarak bildiğimiz davul ve tokmağı artık 
  Alevilere yönelik yapılan tehdit, baskı, tecrit, tahammülsüzlük ve toplumsal 
  baskıda kullanılan şiddet aracına dönüşmüştür.
          Türkiye'de yaşayan Alevi yurttaşların can güvenliğinin gittikçe ortadan 
  kaldırıldığı yönünde kaygılar artarken Avrupa'nın çeşitli ülkelerinde Alevi 
  yurttaşların din ve inanç temelindeki talepleri olumlu karşılanmaktadır.
          Avrupa'daki Alevi yurttaşların din ve inanç temelli talepler süreci 
  incelendiğinde ilgili devletin hiçbir makam ya da birimi Aleviliği ve Alevileri 
  tehdit unsuru olarak değerlendirmediği de anlaşılmaktadır.
          Alevi yurttaşların temel hak ve özgürlükler alanındaki talepleri olan 
  cemevlerinin ibadethane sayılması, zorunlu din derslerinin kaldırılması, Alevi 
  mal varlıklarının iade edilmesi, Aşure Günü ve Hızır Orucu gibi bazı günlerin 
  resmi tatil olarak kabul edilmesi gibi taleplerinin yerine getirilmesi hususunda 
  gereğinin yapılmasını saygılarımla arz ederim.''
 AA","siyaset"
