"id","content","category"
"5.txt","Esad'a da Obama'ya da derim'
CHP Grup Başkanvekili Muharrem İnce, Türkiye'nin çıkarlarına zarar veren herkese ''Canın cehenneme'' diyebileceğini belirterek, ''Esad'a da Obama'ya da 'Canın cehenneme' derim'' dedi.
 İnce, Meclis'te düzenlediği basın toplantısında, Başbakan Recep Tayyip 
  Erdoğan'ın, kendisini hedef alarak, ''Esad'a canın cehenneme' diyorsun, ABD'ye de 
  diyebilir misin?'' dediğini söyledi.
          Erdoğan'a seslenen İnce, ''Ben derim de sen diyebilir misin? Askerlerin 
  başına çuval geçirildiğinde, 'Nota verecek misiniz?' diye sorulduğunda, 'Ne 
  notası, müzik notası mı?' diyen Başbakan, sen diyebilir misin? Meclis'in verdiği 
  Kuzey Irak Tezkeresi'ni kullanmak için 'ABD'yi ikna etmek gerekir' diyen 
  Başbakan, sen diyebilir misin? Beyzbol sopası ile hizaya geçirilen Başbakan, sen 
  diyebilir misin? Türkiye'nin çıkarlarına zarar veren herkese canın cehenneme 
  diyebilirim ben. Esad'a da Obama'ya da 'canın cehenneme' derim ben. Türkiye'nin 
  çıkarlarını zora sokan, zarar veren herkese 'canın cehenneme' derim'' diye 
  konuştu.
          Başbakan Erdoğan'ın, kapalı oturum tutanakları ile ilgili, ''Zamanı 
  geldiğinde, açıklandığında, Anamuhalefet partisi ne kadar maharetliymiş bunu 
  göreceksiniz'' dediğini belirten İnce, ''Gel beklemeyelim zamanının gelmesini. 
  Bunu dört grup kabul ederse açıklanabilir. Olmazsa grup önerisi olarak 
  getireceğim. Gelin bu tutanakları açıklayalım. Biraz yüreğin varsa, kuş yüreği 
  kadar yüreğin varsa gel tutanakları açıklayalım'' dedi.
          Başbakan Yardımcısı Bekir Bozdağ'ın TSK İç Hizmet Kanunu'nun 35. 
  maddesini kaldıracaklarını söylediğini ifade eden İnce, 2010 yılında bu konuda 
  kendilerinin kanun teklifi verdiğini, daha sonra kendi imzasıyla ikinci bir 
  teklif daha sunduğunu, bunların gündeme alınabileceğini söyledi.
          TÜBİTAK'ta kadrolaşma olduğunu savunan İnce, ''Biz bunun sıradan bir 
  kadrolaşma olduğunu düşündük. Meğer, Balyoz'un altyapısı hazırlanıyormuş. Sahte, 
  dijital veriler nasıl hazırlanacak? Meğer bunların hazırlıklarıymış' dedi.
          ''Suriye sınırındaki mayınlı arazilerin İsraillilere verilmesini'' de 
  önce bir rant olaylı olayı olarak değerlendiklerini belirten İnce, ''Meğer bunun 
  arkasında da bugünkü Suriye politikası varmış. Düşünsenize böyle bir ortamda o 
  arazinin İsraillilerin elinde olduğunu. AKP egemen güçlerin dizayn etiği bir 
  büyük projedir'' iddiasında bulundu.
          
          -''Hangi holdingin patronunun torununa söz verdin?''-
          
          Gazetecilerin sorularını yanıtlayan İnce, seçilme yaşının 18'e 
  düşürülmesi önerisine ilişkin, şunları söyledi:
          ''Bu bir popülizmdir. Başbakan'a şunu söyleyeyim: Sen hangi holdingin 
  patronunun torununa söz verdin? Doğum günü hediyesi mi vereceksin? Hangi fakir 
  fukara çocuğu 18 yaşında milletvekili olabilir? 18 yaşında çocuk lisede fiilen 
  öğrencidir. Oy gelsin de nereden gelirsen gelsin politikası.
          Gençler önce, 'parasız eğitim istiyorum' diye pankart açma hakkını 
  istiyor. Sen daha bunu vermemişsin. Sen onların KPSS sorularını çaldırma önce. 
  Adam gibi üniversite yap. Onlara yurt yap. Onlara burs ver. Onları iyi eğit, 
  zamanı geldiğinde milletvekili olurlar.''
          Muharrem İnce, büyükşehir sayısının artırılmasına ilişkin soru üzerine, 
  bunun bir dizayn olduğunu savunarak, kapatılacak 559 belediyenin 194'ünün CHP'li 
  belediye olduğunu söyledi. İnce, ''Sandıkta alamamışlar buraları şimdi kanunla 
  alma yoluna gidiyorlar. Eğer demokrasiye inanıyorsak buralarda referandum 
  yapılmalıdır'' dedi.
          
          -''Emir komuta ile oy verilebilir''-
          
          İnce, er ve erbaşların da oy kullanmasına imkan tanınması ile ilgili 
  soruya da şu yanıtı verdi:
          ''Neden olmasın. Partili Cumhurbaşkanı oluyorsa, partili Genelkurmay 
  Başkanı da olmalıdır. Hatta hangi bölükten AKP'ye çok oy çıktıysa o bölüğün 
  flamasına ampul de eklenmelidir. Mümkünse birinci çıkan bölüklere gece nöbeti, 
  bulaşık yıkama gibi görevler verilmemelidir. Emir komuta ile oy verilebilir. 
  'Benim Genelkurmay Başkanım' dediği Genelkurmay Başkanı'na bir talimat verir...
          Oy verme işlemi bir günde tamamlanıyor. O zaman o gün bütün kışlalar 
  tatil mi olacak? Bunlar ince düşünüldü mü? Başbakan fantezi yapıyor. Canı 
  sıkılmış, Türkiye'de bütün kurumları fethetmiş, tek adamlığa, diktatörlüğe 
  oynuyor. Canı sıkılmış artık.''
          Diyarbakır Emniyet Müdürü Recep Güven'in açıklamasına ilişkin Başbakan 
  Erdoğan'ın konuşmasını değerlendiren İnce, ''Başbakan 'Benim Genelkurmay 
  Başkanım, benim Bakanım, valim, müsteşarım' diyor. O zaman bu Emniyet Müdürü de 
  Başbakan'ın Emniyet Müdürüdür. Dolayısıyla bunu Başbakan söylemiş oldu. Başbakan 
  başka, yardımcısı başka, Emniyet Müdürü başka bir şey diyor. Allah kimseyi Bülent 
  Arınç'ın durumuna düşürmesin''diye konuştu.
 AA","siyaset"
"11.txt","Eker için gensoru
CHP, Gıda Tarım ve Hayvancılık Bakanı Mehdi Eker hakkında, 'yanlış uygulanan politikalar nedeniyle çiftçi ve üreticileri sıkıntıya sokarak görevinin gereklerini yerine getirmediği'' iddiasıyla gensoru önergesi verdi.
 TBMM Başkanlığı'na sunulan önergeye ilişkin Meclis'te basın toplantısı düzenleyen CHP Milletvekili Ensar Öğüt, uygulanan gıda, tarım ve hayvancılık politikalarını eleştirdi. Gemilerle Tekirdağ'a gelen hayvanların şehre korkunç bir koku yaydığını ifade eden Öğüt, ''Korkunç kokan bu hayvanların eti de yenmez, sütü de içilmez. Doğru dürüst bir bakan gelsin, insanlar et yesin, süt içsin'' dedi.10 yıllık AK Parti Hükümeti tarafından izlenen politikalar sonucunda hayvancılık sektörünün bitme aşamasına geldiği öne sürülen gerekçede, ithal hayvan ve et miktarları ile 10 yılda mazot ve saman fiyatlarındaki artışa ilişkin rakamlara yer verildi.","siyaset"
"25.txt","Çiçek'ten 29 Ekim mesajı
TBMM Başkanı Cemil Çiçek, geçmişte olduğu gibi bugün de daha iyi işleyen ve güçlü bir demokrasiye ihtiyaç bulunduğunu, milli mücadeleyi başarıyla yürüten ve Cumhuriyeti kuran Gazi Meclisin, sorunların da çözüm yeri olduğunu belirtti.
 Çiçek, yayımladığı Cumhuriyet Bayramı mesajında, Birinci Dünya Savaşı'nın 
  ardından verilen bağımsızlık mücadelesiyle Cumhuriyetin kurulduğunu anımsattı.
          Milletin özlemlerinin, hayallerinin ve büyük ideallerinin bir eseri olan 
  Cumhuriyetin daima daha kalkınmış, gelişmiş ve demokrasisi gelişmiş bir ülke 
  olmayı hedef edindiğini ifade eden Çiçek, ülkenin de demokrasiyle gelişmiş, 
  güçlenmiş ve modern devletler safında yer aldığını kaydetti.
          İyi işleyen ve kurumsallaşmış demokrasinin en büyük kazanım olduğunu 
  vurgulayan Çiçek, şunları belirtti:
          ''Demokrasimizi daha ileri taşımak, anayasadan, siyasi ve sosyal 
  nedenlerden kaynaklanan eksiklikleri gidermek temel amacımız olmalıdır. 
  Cumhuriyetimizi daha ileri taşıyacak, iç barış ve sosyal refahı geliştirecek olan 
  demokrasidir. Bu yüzden bizim geçmişte olduğu gibi bugün de daha iyi işleyen ve 
  güçlü bir demokrasiye ihtiyacımız bulunmaktadır. Milli mücadelemizi başarıyla 
  yürüten ve Cumhuriyetimizi kuran Gazi Meclisimiz sorunlarımızın da çözüm 
  yeridir.''
          
          -Cumhuriyetin 100. yılı-
          
          Cumhuriyetin 100. yılında dünyanın gelişmiş 10 ekonomisi içerisinde yer 
  alma umudunu ifade eden Çiçek, bu hedef doğrultusunda çocukların eğitimi, 
  demokrasinin gelişimi ve ekonomik büyümenin sürdürülebilmesinin önemine dikkati 
  çekti.
          Türkiye'nin sahip olduğu büyük tarihi ve kültürel zenginliklerle ve 
  Cumhuriyetle getirilen deneyimlerle yüzüncü yıl hedefini gerçekleştireceğine olan 
  inancını bildiren Çiçek, şunları kaydetti:
          ''İç barışımızı bozmaya, birlik ve beraberliğimizi zaafa uğratmaya 
  çalışan terörü sona erdirmeye çalışıyoruz. Terörle mücadele ederken şehitler 
  vermemiz hepimizi derinden yaralamaktadır. Türkiye terörü yenecek, iç barışını ve 
  gücünü zaafa uğratmayacaktır. Terörün sona erdirilmesi için siyasetçiden sivil 
  toplum örgütlerine, herkesin sorumlu ve duyarlı davranması gerekmektedir. Terör 
  sorununu halletmiş ve iç barışını sağlamış Türkiye daha güçlü ve müreffeh bir 
  ülke olacaktır.
          Başta milli mücadelemizin önderi, Cumhuriyetimizin kurucusu Gazi Mustafa 
  Kemal Atatürk ve silah arkadaşları olmak üzere tüm gazi ve şehitlerimizi saygı ve 
  şükranla anıyorum.
          Tüm milletimizin, geleceğimiz olan çocuklarımızın ve gençlerimizin 
  Cumhuriyet Bayramı'nı en içten dileklerimle kutluyorum.''
 AA","siyaset"
"40.txt","Üç hilale üç boyutlu sahne
PAZAR günü gerçekleşecek MHP Kurultayı için hazırlıklar son aşamaya geldi.
 Ankara Spor Salonu'nda saat 10.00'da başlayacak kurultay için üç boyutlu bir sahne tasarımı yapıldı. Kabartmaların yer aldığı sahne, kırmızı, beyaz ve gri renklerden oluşuyor. Sahnenin iki yanında kurultay sloganı olan 'Türk Milleti Sensiz Asla' yazısı ve iki led ekran bulunuyor. 43 yıllık partinin 10. Büyük Kurultayı için hazırlanan özel logo hem sahnenin önünde hem de arkasında yer alıyor.
 KİCK BOKSÇILARLA UZLAŞMA 
 Kurultay ile aynı salonda yapılan ve bir gün önce sona erecek olan Avrupa Kick Boks Şampiyonası'na zaman ayarlaması yapıldı. 24.00'te sona erecek olan şampiyona saat 20.00'ye çekildi. 
 Şampiyonanın bitiminin ardından 600 kişi salonu kurultay için hazırlayacak. Yurtdışından gelecek misafirler için özel girişler hazırlanan salonun dışı da unutulmadı. 10 bin 400 kapasiteli salon dışında 5 bin kişi kapasiteli çadır hazırlanacak. Kurulacak 3 led ekranda salonun havası dışarıya yansıtılacak. Kurultay için MHP tarihini anlatan sinevizyon filmi hazırlandı, özel bir müzik yapıldı.
 Volkan YANARDAĞ / ANKARA","siyaset"
"45.txt","Hakan Şükür'e yasak geliyor
Milletvekillerinin TV’lerde paralı yorumculuk yapması da dahil, bazı faaliyetlerde bulunmasına kısıtlama getiriliyor.
 TBMM’de çalışmalarını sürdüren siyasi etik komisyonu, milletvekillerinin TV’lerde para alarak yorumculuk yapması da dahil, bazı faaliyetlerde bulunmasına kısıtlama getiriyor.
 TBMM Başkanı Çiçek, Meclis bütçesi görüşülürken yaptığı açıklamada, Anayasa'da milletvekilliği ile bağdaşmayan işlerin belli olduğunu ancak etik ilkelerin belirlenmesinin de Meclis'in saygınlığını arttıracağını söyledi. Çiçek  ''Ümit ediyorum siyasi etik komisyonu önemli bir rapor hazırlayacak. Bu Meclis'in saygınlığına büyük ölçüde katkı sağlayacaktır'' dedi.
 Çiçek'in girişimi ve her partiden birer üyenin katılımıyla oluşturulan TBMM Etik Komisyonu, konuyla ilgili yasa teklifi hazırlayacak. Yeni düzenlemeye göre,  milletvekillerinin mesleklerini yapabilme konusundaki tek ayrıcalık ‘’Sanat’’ olacak. Resim ya da beste yapan, kitap yazan veya sanatsal alanda herhangi bir faaliyet gösteren vekil bu çalışmalarını sürdürebilecek.
 Çiçek daha önce Şükür’ün TV’de paralı yorumculuk yapması konusunda ‘’Yasalara göre, vekilin özel bir kanalda yorum yapmasının önünde engel yok. Ama işin etik yönü var’’ demiş Şükür de TV’de yorum yapmak için Başbakan’dan izin aldığını açıklamıştı. Anayasa uyarınca TBMM üyelerinin, kamuda ve kamu yararına çalışan dernekler, vakıflar, meslek kuruluşları ile sendikalarda görev almaları, bir taahhüt işini  kabul etmeleri, temsilcilik ve hakemlik yapmaları yasak bulunuyor. Özel bir TV kanalında paralı yorumculuk ise, kapsama girmediği için Hakan Şükür’le ilgili bir yaptırım uygulanamamıştı.
  ","siyaset"
"10.txt","Falcao 60 milyon euro!
Atletico Madrid'in genel menajeri Gil Marin, finansal sorunları yüzünden Kolombiyalı forveti sezon sonunda 60 milyon euro bonservis bedeliyle satmayı düşündüklerini açıkladı.
 Avrupa'nın dev ekiplerinin radarına giren Radamel Falcao'nun kulübü Atletico Madrid, golcü oyuncunun fiyatını 60 milyon euro olarak belirledi.
 Genel menajer Miguel Angel Gil Marin, COPE Radio'ya yaptığı açıklamada ""Falcao'nun transferinden gelecek 60 milyon euro Atletico'nun tüm finansal sorunlarını çözer. Ama şimdilik sezon sonuna kadar onu takımda tutmayı düşünüyoruz. Sadece onu değil tabii. Teknik direktörümüzün istediği her oyuncuyu kadroda tutacağız. Ama finansal olarak zor durumdayız ve kurtulmak için mucizelere ihtiyacımız var. Avrupa'daki 50 kulübün geliri bizden fazla. Falcao'yu 60 milyon euroya satarsak borçlarımızı kapatabiliriz."" ifadelerini kullandı.
 Oyuncunun geleceği hakkında ucu açık konuşan Gil Marin, ""Atletico, Şampiyonlar Ligi'ne katılamaz ve Falcao'nun maaş taleplerini karşılayamazsa Real Madrid de karşılayamaz. Taraftarların arzuladığı takımı kurmak için riskler almak ve imkansıza yakın şeyler yapmalıyız. Bu durumu yönetmek çok zor"" dedi.
 Atletico formasıyla iki sezonda 48 gol atan Falcao, 2011 yazında Porto'dan 40 milyon euroya transfer edilmişti.
 (Goal.com)","spor"
"20.txt","Hollywood yıldızıyız
A.Madrid ve milli takımın yıldızı, 'İspanya'da huzurlu bir hayatım var. Türkiye'de attığım her adım takip ediliyordu. Hollywood yıldızı muamelesi görüyorduk' itirafında bulundu
 Romanya maçı öncesi basının karşısına geçen Arda Turan yaptığı açıklamalar ile gündemi sarstı. Türkiye'de şöhretli futbolcu olmanın Hollywood'da şöhret olmak ile eş değerde olduğunu belirten Arda önemli mesajlar verdi: 'Türkiye ile İspanya arasında çok fark var. İspanya'da huzurlu bir hayatım var. Doğru bir şekilde çalışıyorum. Türkiye'de attığım her adım takip ediliyordu. Hollywood yıldızı muamelesi görüyorduk.'
 DÜNYANIN SONU DEĞİL Kİ
 Özellikle Romanya ile yapacakları maçta kaybetmemenin çok önemli olduğunu vurgulayan yıldız maestro, 'Umarım bu iki maçtan da 6 puan alırız. Artık Avrupa'da her takım özellikle deplasmanda üst düzeyde kapanıyor. Hedefimiz kazanmak ama körü körüne saldırmayacağız. Sabıra ihtiyacımız var. Yıllardır saldırıp saldırıp sonra yediğimiz 1 golle sıkıntı yaşadık. Maçı kazanamazsak da kaybetmeyeceğiz. Romanya kraşılaşmasında puan kaybetmek de dünyanın sonu değil. Avantajlı bir fikstürümüz var'' yorumu yaptı.
 TAKIMDA GRUPLAŞMA YOK
 MİLLİ Takım'da çok iyi bir arkadaşlık ortamı olduğunu sözlerine ekleyen Arda, 'Çok iyi bir arkadaş ortamımız var. Milli Takım'da 'Almanya kökenli-Türkiye kökenli futbolcular' diye bir ayrım yok. Herkes birbiriyle iyi anlaşıyor. Estonya maçındaki gol sevinci abartıldı. Bunlar büyütülecek şeyler değil. Milli Takım'da gruplaşma yok. Bazen fotoğraf kareleri de yanlış anlatıyor. Herkes yerini biliyor ve takımın iyiliği için çalışıyor. Egolar olabilir ama herkes çok iyi niyetli' diye konuştu. 
 ALEX'E SAYGI DUYULMALI 
 F.Bahçe'den ayrılan Brezilyalı Alex'in çok büyük oyuncu ve saygı duyulması gereken bir insan olduğunu kaydeden Arda, bu konuda fazla yorum yapmak istemediğini dile getirdi.","spor"
"23.txt","Galatasaray'dan Alex açıklaması
Galatasaray Kulübü, Fenerbahçe'yle yollarını ayıran Alex de Souza'yla ilgili bir açıklama yaptı.
 Sarı-kırmızılı kulübün resmi internet sitesinden yapılan açıklamada, basında yer alan ve Galatasaray teknik direktörü Fatih Terim ile Alex de Souza arasında yaşandığı iddia edilen görüşmelerin gerçek dışı olduğu belirtilerek şu ifadeler kullanıldı:
 ""Fenerbahçe Spor Kulübü ile değerli futbolcuları Alex de Souza arasında yaşanan süreç ve yaşananlar tüm kamuoyunun malumudur. Konuya, kurum ve kişilere zarar vermemek amacı ile mesafeli yaklaşılmış bu düşünce ile özellikle görüşme, açıklama ve değerlendirme yapılmamıştır.
 Tüm bu özenli yaklaşımımıza rağmen farklı yayın organlarında dün Teknik Direktörümüzün Alex ile görüştüğüne, bugün ise sporcuyu Galatasaray’a gelmesi için davet ettiğine dair en hafif söyleyişle “GERÇEK DIŞI” haberler ile karşılaşılmıştır.
 Tiraj kaygısı ve spekülasyon yaratarak olaylara başkalarını da dahil etme çabası ile “GERÇEK DIŞI” haber yapmayı alışkanlık haline getirenleri tüm Galatasaraylıların bilgisine ve değerlendirmelerine sunarız.""","spor"
"33.txt","Milli Takım'da Arda şoku!
A Milli Takımda yaşanan sakatlıklar son bulmuyor...
 Ay-yıldızlılara bir kötü haber de Arda Turan'dan geldi. Gökhan Gönül, Mehmet Topal, Burak Yılmaz ve Selçuk İnan'dan sonra Arda da Macaristan'a karşı forma giyemeyecek.
 A Milli Takım’da sakatlar kervanına eklenen son isim Arda Turan oldu.
 Romanya maçında sakatlanmasına rağmen Macaristan maçı kadrosunda tutulan yıldız oyuncudan kötü haber geldi. Arda Turan Salı günü oynanacak Macaristan maçında forma giyemeyecek. Romanya maçının ardından Selçuk İnan, Burak Yılmaz, Mehmet Topal ve Gökhan Gönül de sakatlıkları nedeniyle Macaristan karşılaşmanın kadrosundan çıkarılmıştı.
 NTV Spor","spor"
"45.txt","Çok kritik maç!
A Milli Takım, saat 21.30’da Macaristan’a konuk oluyor. Kritik maçı Star canlı yayınlayacak.
 A Milli Takımımız, 2014 Dünya Kupası Avrupa Elemeleri D Grubu’ndaki 4. maçında bugün deplasmanda Macaristan ile karşılaşacak. Milliler, ilk 2 iddiasını sürdürmek için kazanmak zorunda. Budapeşte’deki Ferenc Puskas Stadı’nda oynanacak maç TSİ 21.30’da başlayacak.
 Başkan morali
 FUTBOL Federasyonu Başkanı Yıldırım Demirören ve yöneticiler, dün ay yıldızlı ekibin Budapeşte’de kamp yaptığı otele giderek futbolculara moral verdi. Demirören, ay yıldızlı futbolculara Macaristan maçını kazanacaklarını inandığını belirtti.
 Forvet sıkıntısı
 A Milli Takım’ın forvet oyuncuları eleme grubundaki 3 maçta rakip kaleye sadece 4 isabetli şut atabildi. Hollanda, Estonya ve Romanya maçlarında görev alan Umut, Burak ve Mevlüt gibi gol ayaklarımız rakip kaleye gönderdikleri 4 isabetli şuttan yalnızca 1 gol çıkarabildi.
 Haydi Hollanda
 DÜNYA Kupası elemelerinde Türkiye’nin yer aldığı D Grubu’nda 2 maç daha oynanacak. Grubumuzdan lider çıkması beklenen Hollanda, ikincilik yolundaki en büyük rakiplerimizden Romanya’ya konuk olacak. Karşılaşma TSİ 21.00’de başlayacak. Grubun diğer maçı saat 20.00’de Andorra ile Estonya arasında. Eleme gruplarında bu akşam 9 grupta toplam 25 karşılaşma oynanacak.
 A2’ler de sahada
 A2 Milli Futbol Takımımız, Uluslararası Challenge Trophy Turnuvası’nda bu akşam deplasmanda Galler ile karşılaşacak. Maç TSİ 20.00’de başlayacak.","spor"
